#B6_o1 ⓐ offset_of! 일괄 대조 — specs[5..9] mem 전량
#spec	row	type	field	got	expect	verdict
OFF	05	rec+0x5e	V50DiveEpisode	end_plan	0x5e	0x5e	OK
OFF	05	rec+0x5f	V50DiveEpisode	tower	0x5f	0x5f	OK
OFF	05	rec+0x60	V50DiveEpisode	start_in_range	0x60	0x60	OK
OFF	05	rec+0x61	V50DiveEpisode	aborted	0x61	0x61	OK
#DBGOFF
DBG	0x570	raw_i64	-1	exp=-1(None)	OK
DBG	0x570	debug_says_None	true
DBG	0x1811	raw_u8	0	debug_says_same	true
DBG	0x1811	sentinel_171	true
DBG	0x1811	changed_fields	[1] v50_dive_ep_abort_src: 0 => v50_dive_ep_abort_src: 171
#SIZE
SIZE	LegacyPlanHandler	6168	6168	OK
SIZE	V50DiveEpisode	104	104	OK
SIZE	OperationData	24	24	OK
SIZE	GameContext	64	64	OK
SIZE	PlayerState	2528	2528	OK
SIZE	Entity	1728	1728	OK
SIZE	AbstractGameWithCache	8840	8840	OK
