setting_ok	true	width=960000	height=960000	tps=60	champ_radius=10000	visible=130000
1	Support	0	25	false	false	MATCH
1	Support	0	26	false	false	MATCH
1	Support	0	27	false	false	MATCH
1	Support	0	28	false	false	MATCH
1	Support	0	29	false	false	MATCH
1	Support	1	22	false	false	MATCH
1	Support	1	23	false	false	MATCH
1	Support	1	24	false	false	MATCH
1	Support	1	25	false	false	MATCH
1	Support	1	26	false	false	MATCH
1	Support	1	27	false	false	MATCH
1	Support	1	28	false	false	MATCH
1	Support	1	29	false	false	MATCH
1	Support	2	22	false	false	MATCH
1	Support	2	23	false	false	MATCH
1	Support	2	24	false	false	MATCH
1	Support	2	25	false	false	MATCH
1	Support	2	26	false	false	MATCH
1	Support	2	27	false	false	MATCH
1	Support	2	28	false	false	MATCH
1	Support	2	29	false	false	MATCH
1	Support	3	22	false	false	MATCH
1	Support	3	23	false	false	MATCH
1	Support	3	24	false	false	MATCH
1	Support	3	25	false	false	MATCH
1	Support	3	26	false	false	MATCH
1	Support	3	27	false	false	MATCH
1	Support	3	28	false	false	MATCH
1	Support	3	29	false	false	MATCH
1	Support	4	22	false	false	MATCH
1	Support	4	23	false	false	MATCH
1	Support	4	24	false	false	MATCH
1	Support	4	25	false	false	MATCH
1	Support	4	26	false	false	MATCH
1	Support	4	27	false	false	MATCH
1	Support	4	28	false	false	MATCH
1	Support	4	29	false	false	MATCH
1	Support	5	25	false	false	MATCH
1	Support	5	26	false	false	MATCH
1	Support	5	27	false	false	MATCH
1	Support	5	28	false	false	MATCH
1	Support	5	29	false	false	MATCH
1	Support	6	25	false	false	MATCH
1	Support	6	26	false	false	MATCH
1	Support	6	27	false	false	MATCH
1	Support	6	28	false	false	MATCH
1	Support	6	29	false	false	MATCH
1	Support	7	25	false	false	MATCH
1	Support	7	26	false	false	MATCH
1	Support	7	27	false	false	MATCH
1	Support	7	28	false	false	MATCH
1	Support	7	29	false	false	MATCH
summary	total=3600	mismatch=0	false_cases=220	setting_ok=true
