setting_ok	true	width=960000	height=960000	tps=60	champ_radius=10000	visible=130000
V23	range=22672	min_hp=1	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22672	min_hp=50	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22672	min_hp=99	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22672	min_hp=100	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22672	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=22673	min_hp=0	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22673	min_hp=1	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22673	min_hp=50	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22673	min_hp=99	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22673	min_hp=100	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=22673	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=34057	min_hp=0	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34057	min_hp=1	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34057	min_hp=50	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34057	min_hp=99	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34057	min_hp=100	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34057	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=34058	min_hp=0	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34058	min_hp=1	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34058	min_hp=50	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34058	min_hp=99	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34058	min_hp=100	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=34058	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=34059	min_hp=0	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34059	min_hp=1	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34059	min_hp=50	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34059	min_hp=99	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34059	min_hp=100	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34059	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=34060	min_hp=0	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34060	min_hp=1	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34060	min_hp=50	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34060	min_hp=99	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34060	min_hp=100	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=34060	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=24999	min_hp=0	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=24999	min_hp=1	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=24999	min_hp=50	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=24999	min_hp=99	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=24999	min_hp=100	game=2	mine(ule)=2	alt(ult)=2	MATCH
V23	range=24999	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=25000	min_hp=0	game=3	mine(ule)=3	alt(ult)=2	MATCH(판별 ule)
V23	range=25000	min_hp=1	game=3	mine(ule)=3	alt(ult)=2	MATCH(판별 ule)
V23	range=25000	min_hp=50	game=3	mine(ule)=3	alt(ult)=2	MATCH(판별 ule)
V23	range=25000	min_hp=99	game=3	mine(ule)=3	alt(ult)=2	MATCH(판별 ule)
V23	range=25000	min_hp=100	game=3	mine(ule)=3	alt(ult)=2	MATCH(판별 ule)
V23	range=25000	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=25001	min_hp=0	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=25001	min_hp=1	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=25001	min_hp=50	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=25001	min_hp=99	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=25001	min_hp=100	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=25001	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=25002	min_hp=0	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=25002	min_hp=1	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=25002	min_hp=50	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=25002	min_hp=99	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=25002	min_hp=100	game=3	mine(ule)=3	alt(ult)=3	MATCH
V23	range=25002	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=47380	min_hp=0	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=47380	min_hp=1	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=47380	min_hp=50	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=47380	min_hp=99	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=47380	min_hp=100	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=47380	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=47381	min_hp=0	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=47381	min_hp=1	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=47381	min_hp=50	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=47381	min_hp=99	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=47381	min_hp=100	game=4	mine(ule)=4	alt(ult)=4	MATCH
V23	range=47381	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=47382	min_hp=0	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=47382	min_hp=1	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=47382	min_hp=50	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=47382	min_hp=99	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=47382	min_hp=100	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=47382	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23	range=47383	min_hp=0	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=47383	min_hp=1	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=47383	min_hp=50	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=47383	min_hp=99	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=47383	min_hp=100	game=5	mine(ule)=5	alt(ult)=5	MATCH
V23	range=47383	min_hp=101	game=0	mine(ule)=0	alt(ult)=0	MATCH
V23_SUMMARY	match=150	mismatch=0
HPSET	id=19	hp=360	max=1000	pct=36
V23HP	min_hp=0	game=5	mine=5	MATCH
V23HP	min_hp=35	game=5	mine=5	MATCH
V23HP	min_hp=36	game=5	mine=5	MATCH
V23HP	min_hp=37	game=4	mine=4	MATCH
V23HP	min_hp=100	game=4	mine=4	MATCH
V23HP	min_hp=101	game=0	mine=0	MATCH
TOWERS	enemy_count=9	champ_id=18	champ_radius=10000	radius_mult=0
TOWER	#0	id=3	tag=2	ne_tag=0	x=272000	y=48000	eff.range=0	growth=0	level=1	sb_range=0	radius=10000	range(t)=0	R=35000	Ralt=20000
CTF	#0	R-1	x=306999	y=48000	game=true	mine=true	alt(no15000)=false	MATCH(판별 15000)
CTF	#0	R	x=307000	y=48000	game=true	mine=true	alt(no15000)=false	MATCH(판별 15000)
CTF	#0	R+1	x=307001	y=48000	game=false	mine=false	alt(no15000)=false	MATCH
CTF	#0	Ralt	x=292000	y=48000	game=true	mine=true	alt(no15000)=true	MATCH
CTF	#0	Ralt+1	x=292001	y=48000	game=true	mine=true	alt(no15000)=false	MATCH(판별 15000)
CTF	#0	R+15000	x=322000	y=48000	game=false	mine=false	alt(no15000)=false	MATCH
TOWER	#1	id=7	tag=2	ne_tag=0	x=592000	y=368000	eff.range=0	growth=0	level=1	sb_range=0	radius=10000	range(t)=0	R=35000	Ralt=20000
CTF	#1	R-1	x=626999	y=368000	game=true	mine=true	alt(no15000)=false	MATCH(판별 15000)
CTF	#1	R	x=627000	y=368000	game=true	mine=true	alt(no15000)=false	MATCH(판별 15000)
CTF	#1	R+1	x=627001	y=368000	game=false	mine=false	alt(no15000)=false	MATCH
CTF	#1	Ralt	x=612000	y=368000	game=true	mine=true	alt(no15000)=true	MATCH
CTF	#1	Ralt+1	x=612001	y=368000	game=true	mine=true	alt(no15000)=false	MATCH(판별 15000)
CTF	#1	R+15000	x=642000	y=368000	game=false	mine=false	alt(no15000)=false	MATCH
TOWER	#2	id=11	tag=2	ne_tag=0	x=912000	y=688000	eff.range=0	growth=0	level=1	sb_range=0	radius=10000	range(t)=0	R=35000	Ralt=20000
CTF	#2	R-1	x=946999	y=688000	game=true	mine=true	alt(no15000)=false	MATCH(판별 15000)
CTF	#2	R	x=947000	y=688000	game=true	mine=true	alt(no15000)=false	MATCH(판별 15000)
CTF	#2	R+1	x=947001	y=688000	game=false	mine=false	alt(no15000)=false	MATCH
CTF	#2	Ralt	x=932000	y=688000	game=true	mine=true	alt(no15000)=true	MATCH
CTF	#2	Ralt+1	x=932001	y=688000	game=true	mine=true	alt(no15000)=false	MATCH(판별 15000)
CTF	#2	R+15000	x=962000	y=688000	game=false	mine=false	alt(no15000)=false	MATCH
TOWER	#3	id=5	tag=2	ne_tag=0	x=528000	y=48000	eff.range=0	growth=0	level=1	sb_range=0	radius=10000	range(t)=0	R=35000	Ralt=20000
CTF	#3	R-1	x=562999	y=48000	game=true	mine=true	alt(no15000)=false	MATCH(판별 15000)
CTF	#3	R	x=563000	y=48000	game=true	mine=true	alt(no15000)=false	MATCH(판별 15000)
CTF	#3	R+1	x=563001	y=48000	game=false	mine=false	alt(no15000)=false	MATCH
CTF	#3	Ralt	x=548000	y=48000	game=true	mine=true	alt(no15000)=true	MATCH
CTF	#3	Ralt+1	x=548001	y=48000	game=true	mine=true	alt(no15000)=false	MATCH(판별 15000)
