sub_objective_allowed	tut=None;so=JungleBattle(Mushroom,0)	true
sub_objective_allowed	tut=None;so=JungleBattle(Mushroom,1)	true
sub_objective_allowed	tut=None;so=JungleBattle(Stump,0)	true
sub_objective_allowed	tut=None;so=JungleBattle(Stump,1)	true
sub_objective_allowed	tut=None;so=JungleBattle(Bee,0)	true
sub_objective_allowed	tut=None;so=JungleBattle(Bee,1)	true
sub_objective_allowed	tut=None;so=JungleBattle(Morgard,0)	true
sub_objective_allowed	tut=None;so=JungleBattle(Morgard,1)	true
sub_objective_allowed	tut=None;so=JungleBattle(Serpen,0)	true
sub_objective_allowed	tut=None;so=JungleBattle(Serpen,1)	true
chat_allowed	tut=None;chat=0:Start	true
chat_allowed	tut=None;chat=1:Mia;pos=Top	true
chat_allowed	tut=None;chat=1:Mia;pos=Jungle	true
chat_allowed	tut=None;chat=1:Mia;pos=Mid	true
chat_allowed	tut=None;chat=1:Mia;pos=Bottom	true
chat_allowed	tut=None;chat=1:Mia;pos=Support	true
chat_allowed	tut=None;chat=2:JungleCheck;line=Mid	true
chat_allowed	tut=None;chat=2:JungleCheck;line=Bottom	true
chat_allowed	tut=None;chat=2:JungleCheck;line=Top	true
chat_allowed	tut=None;chat=3:Battle	true
chat_allowed	tut=None;chat=4:BattleDive	true
chat_allowed	tut=None;chat=5:BattleLine;line=Mid	true
chat_allowed	tut=None;chat=5:BattleLine;line=Bottom	true
chat_allowed	tut=None;chat=5:BattleLine;line=Top	true
chat_allowed	tut=None;chat=6:BattleHelp	true
chat_allowed	tut=None;chat=7:BattleStop;r=TowerFocused	true
chat_allowed	tut=None;chat=7:BattleStop;r=TowerDiveFail	true
chat_allowed	tut=None;chat=7:BattleStop;r=Outnumbered	true
chat_allowed	tut=None;chat=7:BattleStop;r=LowHp	true
chat_allowed	tut=None;chat=7:BattleStop;r=BurstRisk	true
chat_allowed	tut=None;chat=7:BattleStop;r=LowHpMatch	true
chat_allowed	tut=None;chat=8:GankRequest;line=Mid	true
chat_allowed	tut=None;chat=8:GankRequest;line=Bottom	true
chat_allowed	tut=None;chat=8:GankRequest;line=Top	true
chat_allowed	tut=None;chat=9:CoverLine;line=Mid	true
chat_allowed	tut=None;chat=9:CoverLine;line=Bottom	true
chat_allowed	tut=None;chat=9:CoverLine;line=Top	true
chat_allowed	tut=None;chat=10:GankLineCover;line=Mid	true
chat_allowed	tut=None;chat=10:GankLineCover;line=Bottom	true
chat_allowed	tut=None;chat=10:GankLineCover;line=Top	true
chat_allowed	tut=None;chat=11:HideLine;line=Mid	true
chat_allowed	tut=None;chat=11:HideLine;line=Bottom	true
chat_allowed	tut=None;chat=11:HideLine;line=Top	true
chat_allowed	tut=None;chat=12:HideLineToo;line=Mid	true
chat_allowed	tut=None;chat=12:HideLineToo;line=Bottom	true
chat_allowed	tut=None;chat=12:HideLineToo;line=Top	true
chat_allowed	tut=None;chat=13:LineCover;line=Mid	true
