case	47	mode=0	nEV=3	nEI=1	nA=1	hpv=1	enemies=3	cfef=0	pred=true	actual=true	MATCH
case	48	mode=0	nEV=0	nEI=0	nA=2	hpv=1	enemies=0	cfef=-1	pred=false	actual=false	MATCH
case	49	mode=0	nEV=1	nEI=0	nA=2	hpv=1	enemies=1	cfef=0	pred=true	actual=true	MATCH
case	50	mode=0	nEV=2	nEI=0	nA=2	hpv=1	enemies=2	cfef=0	pred=true	actual=true	MATCH
case	51	mode=0	nEV=3	nEI=0	nA=2	hpv=1	enemies=3	cfef=0	pred=true	actual=true	MATCH
case	52	mode=0	nEV=0	nEI=1	nA=2	hpv=1	enemies=0	cfef=-1	pred=false	actual=false	MATCH
case	53	mode=0	nEV=1	nEI=1	nA=2	hpv=1	enemies=1	cfef=0	pred=true	actual=true	MATCH
case	54	mode=0	nEV=2	nEI=1	nA=2	hpv=1	enemies=2	cfef=0	pred=true	actual=true	MATCH
case	55	mode=0	nEV=3	nEI=1	nA=2	hpv=1	enemies=3	cfef=0	pred=true	actual=true	MATCH
case	56	mode=0	nEV=0	nEI=0	nA=3	hpv=1	enemies=0	cfef=-1	pred=false	actual=false	MATCH
case	57	mode=0	nEV=1	nEI=0	nA=3	hpv=1	enemies=1	cfef=0	pred=true	actual=true	MATCH
case	58	mode=0	nEV=2	nEI=0	nA=3	hpv=1	enemies=2	cfef=0	pred=true	actual=true	MATCH
case	59	mode=0	nEV=3	nEI=0	nA=3	hpv=1	enemies=3	cfef=0	pred=true	actual=true	MATCH
case	60	mode=0	nEV=0	nEI=1	nA=3	hpv=1	enemies=0	cfef=-1	pred=false	actual=false	MATCH
case	61	mode=0	nEV=1	nEI=1	nA=3	hpv=1	enemies=1	cfef=0	pred=true	actual=true	MATCH
case	62	mode=0	nEV=2	nEI=1	nA=3	hpv=1	enemies=2	cfef=0	pred=true	actual=true	MATCH
case	63	mode=0	nEV=3	nEI=1	nA=3	hpv=1	enemies=3	cfef=0	pred=true	actual=true	MATCH
case	64	mode=0	nEV=0	nEI=0	nA=0	hpv=2	enemies=0	cfef=-1	pred=false	actual=false	MATCH
case	65	mode=0	nEV=1	nEI=0	nA=0	hpv=2	enemies=1	cfef=0	pred=true	actual=true	MATCH
case	66	mode=0	nEV=2	nEI=0	nA=0	hpv=2	enemies=2	cfef=0	pred=true	actual=true	MATCH
case	67	mode=0	nEV=3	nEI=0	nA=0	hpv=2	enemies=3	cfef=0	pred=true	actual=true	MATCH
case	68	mode=0	nEV=0	nEI=1	nA=0	hpv=2	enemies=0	cfef=-1	pred=false	actual=false	MATCH
case	69	mode=0	nEV=1	nEI=1	nA=0	hpv=2	enemies=1	cfef=0	pred=true	actual=true	MATCH
case	70	mode=0	nEV=2	nEI=1	nA=0	hpv=2	enemies=2	cfef=0	pred=true	actual=true	MATCH
case	71	mode=0	nEV=3	nEI=1	nA=0	hpv=2	enemies=3	cfef=0	pred=true	actual=true	MATCH
case	72	mode=0	nEV=0	nEI=0	nA=1	hpv=2	enemies=0	cfef=-1	pred=false	actual=false	MATCH
case	73	mode=0	nEV=1	nEI=0	nA=1	hpv=2	enemies=1	cfef=0	pred=true	actual=true	MATCH
case	74	mode=0	nEV=2	nEI=0	nA=1	hpv=2	enemies=2	cfef=0	pred=true	actual=true	MATCH
case	75	mode=0	nEV=3	nEI=0	nA=1	hpv=2	enemies=3	cfef=0	pred=true	actual=true	MATCH
case	76	mode=0	nEV=0	nEI=1	nA=1	hpv=2	enemies=0	cfef=-1	pred=false	actual=false	MATCH
case	77	mode=0	nEV=1	nEI=1	nA=1	hpv=2	enemies=1	cfef=0	pred=true	actual=true	MATCH
case	78	mode=0	nEV=2	nEI=1	nA=1	hpv=2	enemies=2	cfef=0	pred=true	actual=true	MATCH
case	79	mode=0	nEV=3	nEI=1	nA=1	hpv=2	enemies=3	cfef=0	pred=true	actual=true	MATCH
case	80	mode=0	nEV=0	nEI=0	nA=2	hpv=2	enemies=0	cfef=-1	pred=false	actual=false	MATCH
case	81	mode=0	nEV=1	nEI=0	nA=2	hpv=2	enemies=1	cfef=1	pred=false	actual=false	MATCH
case	82	mode=0	nEV=2	nEI=0	nA=2	hpv=2	enemies=2	cfef=1	pred=false	actual=false	MATCH
case	83	mode=0	nEV=3	nEI=0	nA=2	hpv=2	enemies=3	cfef=1	pred=false	actual=false	MATCH
case	84	mode=0	nEV=0	nEI=1	nA=2	hpv=2	enemies=0	cfef=-1	pred=false	actual=false	MATCH
case	85	mode=0	nEV=1	nEI=1	nA=2	hpv=2	enemies=1	cfef=1	pred=false	actual=false	MATCH
case	86	mode=0	nEV=2	nEI=1	nA=2	hpv=2	enemies=2	cfef=1	pred=false	actual=false	MATCH
case	87	mode=0	nEV=3	nEI=1	nA=2	hpv=2	enemies=3	cfef=1	pred=false	actual=false	MATCH
case	88	mode=0	nEV=0	nEI=0	nA=3	hpv=2	enemies=0	cfef=-1	pred=false	actual=false	MATCH
