
===== specs[0] ult =====
  mem[0 ] PlayerState(=GamePlayer in 0x930    dir=r 관측=['load']               OK
  mem[1 ] PlayerState(=GamePlayer in 0x9c0    dir=r 관측=['load']               OK
  mem[1 ] OperationData              0x8      dir=r 관측=['load', 'store']      OK
  mem[2 ] OperationData              0x10     dir=r 관측=['load', 'store']      OK
  mem[3 ] GameContext                0x0      dir=r 관측=['load', 'store']      OK
  mem[4 ] GameContext                0x8      dir=r 관측=['load', 'store']      OK
  mem[5 ] GameContext                0x38     dir=r 관측=['load']               OK
  mem[6 ] AbstractGameWithCache      0x0      dir=r 관측=['load', 'store']      OK
  mem[7 ] AbstractGame vtable        0x40     dir=r 관측=['load']               OK
  mem[8 ] MobaMode                   0x240    dir=r 관측=['load']               OK
  mem[9 ] PlayerState                0x930    dir=r 관측=['load']               OK
  mem[10] AbstractGameWithCache      0x130    dir=r 관측=['load']               OK
  mem[11] AbstractGameWithCache      0x180    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[12] AbstractGameWithCache      0x190    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[13] AbstractGameWithCache      0x1a0    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[14] AbstractGameWithCache      0x1b0    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[15] AbstractGameWithCache      0x1c0    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[16] AbstractGameWithCache      0x1d0    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[17] bumpalo Vec<&Entity>       0x18     dir=r 관측=['load', 'store']      OK
  mem[18] Entity                     0x5c0    dir=r 관측=['load']               OK
  mem[19] Entity                     0x660    dir=r 관측=['load']               OK
  mem[20] Entity                     0x668    dir=r 관측=['load']               OK
  mem[21] Strategy                   0xe      dir=r 관측=['load']               OK
  mem[22] Blackboard                 0x0      dir=r 관측=['load', 'store']      OK
  mem[23] Blackboard                 0x28     dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[24] Blackboard                 0x50     dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[25] BrainMinionParameter       0x10     dir=r 관측=['load', 'store']      OK
  mem[26] BrainMinionParameter       0x20     dir=r 관측=['store']              **불일치**

===== specs[5] v50_fold_dive_episode =====
  mem[0 ] LegacyPlanHandler          0x570    dir=r 관측=['load', 'store']      OK
  mem[1 ] LegacyPlanHandler          0x580    dir=r 관측=['load']               OK
  mem[2 ] LegacyPlanHandler          0x588    dir=r 관측=['load']               OK
  mem[3 ] LegacyPlanHandler          0x590    dir=r 관측=['load']               OK
  mem[4 ] LegacyPlanHandler          0x598    dir=r 관측=['load']               OK
  mem[5 ] LegacyPlanHandler          0x5a0    dir=r 관측=['load']               OK
  mem[6 ] LegacyPlanHandler          0x5a8    dir=r 관측=['load']               OK
  mem[7 ] LegacyPlanHandler          0x5b0    dir=r 관측=['load']               OK
  mem[8 ] LegacyPlanHandler          0x5b8    dir=r 관측=['load']               OK
  mem[9 ] LegacyPlanHandler          0x5c8    dir=r 관측=['load']               OK
  mem[10] LegacyPlanHandler          0x5d0    dir=r 관측=['load']               OK
  mem[11] LegacyPlanHandler          0x5d8    dir=r 관측=['load']               OK
  mem[12] LegacyPlanHandler          0x5dc    dir=r 관측=['load']               OK
  mem[13] LegacyPlanHandler          0x5e0    dir=r 관측=['load']               OK
  mem[14] LegacyPlanHandler          0x5e1    dir=r 관측=['load']               OK
  mem[15] LegacyPlanHandler          0x5e2    dir=r 관측=['load']               OK
  mem[16] LegacyPlanHandler          0x5e3    dir=r 관측=['load']               OK
  mem[17] LegacyPlanHandler          0x5e4    dir=r 관측=['load']               OK
  mem[18] LegacyPlanHandler          0x5e5    dir=r 관측=['load']               OK
  mem[19] LegacyPlanHandler          0x5e8    dir=r 관측=['addr']               OK
  mem[20] LegacyPlanHandler          0x1480   dir=r 관측=['load', 'store']      OK
  mem[21] LegacyPlanHandler          0x1811   dir=r 관측=['load']               OK
  mem[22] LegacyPlanHandler          0x888    dir=r 관측=['addr', 'load']       OK
  mem[23] LegacyPlanHandler          0x890    dir=r 관측=['load']               OK
  mem[24] LegacyPlanHandler          0x898    dir=r 관측=['load', 'store']      OK
  mem[25] LegacyPlanHandler          0x1480   dir=w 관측=['load', 'store']      OK
  mem[26] LegacyPlanHandler          0x570    dir=w 관측=['load', 'store']      OK
  mem[27] LegacyPlanHandler          0x890    dir=w 관측=['load']               **불일치**
  mem[28] LegacyPlanHandler          0x898    dir=w 관측=['load', 'store']      OK
  mem[29] LegacyPlanHandler          0x888    dir=w 관측=['addr', 'load']       (판정보류: addr 만)

===== specs[6] v2_response_retreat_stance =====
  mem[0 ] OperationData              0x0      dir=r 관측=['load', 'store']      OK
  mem[1 ] OperationData              0x8      dir=r 관측=['addr', 'load', 'store'] OK
  mem[2 ] OperationData              0x10     dir=r 관측=['addr', 'load', 'store'] OK
  mem[3 ] PlayerState                0x930    dir=r 관측=['load']               OK
  mem[4 ] PlayerState                0x9c0    dir=r 관측=['load']               OK
  mem[5 ] AbstractGameWithCache      0x0      dir=r 관측=['load', 'store']      OK
  mem[6 ] AbstractGameWithCache      0x1e0    dir=r 관측=['load']               OK
  mem[7 ] Entity                     0x660    dir=r 관측=['load']               OK
  mem[8 ] Entity                     0x668    dir=r 관측=['load']               OK
  mem[9 ] Entity                     0x5c0    dir=r 관측=['load']               OK
  mem[10] GameContext                0x0      dir=r 관측=['load', 'store']      OK
  mem[11] GameContext                0x8      dir=r 관측=['addr', 'load', 'store'] OK
  mem[12] GameSetting                0x12f8   dir=r 관측=['load']               OK

===== specs[7] sub_plan =====
  mem[0 ] PlayerState                0x930    dir=r 관측=['load']               OK
  mem[1 ] PlayerState                0x9c0    dir=r 관측=['load']               OK
  mem[2 ] OperationData              0x0      dir=r 관측=['load', 'store']      OK
  mem[3 ] OperationData              0x8      dir=r 관측=['load', 'store']      OK
  mem[4 ] AbstractGameWithCache      0x0      dir=r 관측=['load', 'store']      OK
  mem[5 ] AbstractGameWithCache      0x1e0    dir=r 관측=['load']               OK
  mem[6 ] dyn AbstractGame vtable    0x40     dir=r 관측=['load']               OK
  mem[7 ] dyn AbstractGame vtable    0x1f0    dir=r 관측=['load']               OK
  mem[8 ] MobaMode                   0x1a0    dir=r 관측=['load']               OK
  mem[9 ] MobaMode                   0x1a8    dir=r 관측=['load']               OK
  mem[10] GameContext                0x8      dir=r 관측=['load', 'store']      OK
  mem[11] GameContext                0x20     dir=r 관측=['load']               OK
  mem[12] GameSetting                0x12f8   dir=r 관측=['load']               OK
  mem[13] MapDef                     0x6d70   dir=r 관측=['load']               OK
  mem[14] Entity                     0x670    dir=r 관측=['load']               OK
  mem[15] Entity                     0x628    dir=r 관측=['load']               OK
  mem[16] Entity                     0x660    dir=r 관측=['load']               OK
  mem[17] Entity                     0x668    dir=r 관측=['load']               OK
  mem[18] GoalData                   0x98     dir=r 관측=['load']               OK
  mem[19] GoalData                   0xa0     dir=r 관측=['load']               OK
  mem[20] EpicHuntAndBattlePlan      0x0      dir=r 관측=['load', 'store']      OK
  mem[21] EpicHuntAndBattlePlan      0x8      dir=r 관측=['load', 'store']      OK
  mem[22] SubPlan(sret)              0x0      dir=w 관측=['load', 'store']      OK
  mem[23] SubPlan(sret)              0x8      dir=w 관측=['load', 'store']      OK
  mem[24] SubPlan(sret)              0x8      dir=w 관측=['load', 'store']      OK
  mem[25] SubPlan(sret)              0x10     dir=w 관측=['load', 'store']      OK
